text,createTime,diggCount,shareCount,playCount,commentCount,mentions,authorMeta.name,authorMeta.nickName,authorMeta.verified,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,videoMeta.height,videoMeta.width,videoMeta.duration,hashtags.name,hashtags.title
"Kendinizi yıpratmayın, DEĞMEZ 🤞🏻 #keşfet #tiktok #turkey #kadın #erkek #aldatma #seniniçin #beniöneçıkart #ortamısalla #mizah #boys #girls #türkiye",1608048326,734,1,8071,54,,sulekolik,@Şulekolik,False,Believer,Imagine Dragons,False,1024,576,15,beniöneçıkart,"TikTok'ta Feature Kazan😍
Tarih: 15-24 Mart
Şartlar: Sevdiğin bir müziği veya diyaloğu TikTok'a yükle, çekeceğin videoya #beniöneçıkart hashtagini ekle! 
Ödüller:  
1. Her gün 5 videoya Feature!
2. Etkinlik sonunda, en iyi 3 video sahibi için 3 günlük Banner imkanı!
3. Etkinlik sonunda, en fazla paylaşılan 50 videonun (En az 1k izlenme) sahibine TikTok özel tişörtü hediye!"
"Kendinizi yıpratmayın, DEĞMEZ 🤞🏻 #keşfet #tiktok #turkey #kadın #erkek #aldatma #seniniçin #beniöneçıkart #ortamısalla #mizah #boys #girls #türkiye",1608048326,734,1,8071,54,,sulekolik,@Şulekolik,False,Believer,Imagine Dragons,False,1024,576,15,mizah,
"Kendinizi yıpratmayın, DEĞMEZ 🤞🏻 #keşfet #tiktok #turkey #kadın #erkek #aldatma #seniniçin #beniöneçıkart #ortamısalla #mizah #boys #girls #türkiye",1608048326,734,1,8071,54,,sulekolik,@Şulekolik,False,Believer,Imagine Dragons,False,1024,576,15,boys,Are you busy thinking about Boys?
"Kendinizi yıpratmayın, DEĞMEZ 🤞🏻 #keşfet #tiktok #turkey #kadın #erkek #aldatma #seniniçin #beniöneçıkart #ortamısalla #mizah #boys #girls #türkiye",1608048326,734,1,8071,54,,sulekolik,@Şulekolik,False,Believer,Imagine Dragons,False,1024,576,15,girls,
"Kendinizi yıpratmayın, DEĞMEZ 🤞🏻 #keşfet #tiktok #turkey #kadın #erkek #aldatma #seniniçin #beniöneçıkart #ortamısalla #mizah #boys #girls #türkiye",1608048326,734,1,8071,54,,sulekolik,@Şulekolik,False,Believer,Imagine Dragons,False,1024,576,15,türkiye,
#kids #parents #funny,1605182532,3874,716,95800,94,,pien.the.pug,Jans,False,Snort laugh,Lauren,True,1024,576,15,kids,
#kids #parents #funny,1605182532,3874,716,95800,94,,pien.the.pug,Jans,False,Snort laugh,Lauren,True,1024,576,15,parents,
#kids #parents #funny,1605182532,3874,716,95800,94,,pien.the.pug,Jans,False,Snort laugh,Lauren,True,1024,576,15,funny,
Iknow maagdenvlies bestaat niet😄 #foryou #fyp #foryoupage #fy,1607171987,2080,17,39300,19,,_ylvax,💘 Ylva Bloemsma 💘,False,WITHOUT YOU,The Kid LAROI,False,1024,576,9,foryou,
Iknow maagdenvlies bestaat niet😄 #foryou #fyp #foryoupage #fy,1607171987,2080,17,39300,19,,_ylvax,💘 Ylva Bloemsma 💘,False,WITHOUT YOU,The Kid LAROI,False,1024,576,9,fyp,
